trash_name,synonym
アクセサリー,指輪
アクセサリー,ネックレス
アダプター,コード
椅子,いす
椅子,チェア
椅子,イス
椅子,スツール
イヤホン,イヤフォン
イヤホン,ヘッドフォン
衣類,洋服
衣類,衣装
衣類,着物
衣類,服
衣類,ドレス
入れ歯,入歯
印鑑,印かん
印鑑,印
印鑑,はんこ
印鑑,判子
印鑑,スタンプ
印鑑,印章
インターホン,インターフォン
インターホン,ドアホン
植木鉢,鉢
植木鉢,フラワーポット
腕時計,リストウォッチ
乳母車,ベビーカー
乳母車,バギー
エアコン,エアーコンディショナー
エアコン,ルームクーラー
エアコン,冷房
エアコン,暖房
エアコン,空調
エアコン,クーラー
絵の具,塗料
絵の具,顔料
絵の具,ペンキ
絵の具,絵具
縁台,長椅子
縁台,ベンチ
オーブン,トースター
オーブン,オーブントースター
汚泥,ドロ
汚泥,泥
汚泥,へどろ
汚泥,ヘドロ
おまる,便器
おむつ,おしめ
おもちゃ,オモチャ
おもちゃ,玩具
オルガン,ピアノ
オルガン,エレクトーン
おろし金,下ろし金
おろし金,卸金
おろし金,下し金
温水器,給湯器
温水器,湯沸かし器
温度計,体温計
温度計,サーモメーター
カーペット,絨毯
カーペット,じゅうたん
カーペット,ラグ
カーペット,マット
懐中電灯,ハンドライト
懐中電灯,フラッシュライト
鏡,ミラー
学習机,机
学習机,勉強机
額縁,写真立て
額縁,フォトフレーム
換気扇,ファン
乾電池,バッテリー
キーボード,鍵盤
義歯,入歯
義歯,入れ歯
給湯器,湯沸かし器
給湯器,温水器
鏡台,ピューロー
鏡台,化粧台
クーラー,エアコン
クーラー,エアーコンディショナー
クーラー,冷房
クーラー,暖房
クーラー,空調
鎖,チェーン
鎖,チェイン
薬,薬品
クッション,座布団
クッション,マット
車椅子,車いす
グローブ,手袋
グローブ,ミット
携帯電話,ケータイ
携帯電話,スマホ
携帯電話,スマートフォン
携帯電話,ケイタイ
毛糸,羊毛
毛糸,ウール
計量器,体重計
計量器,はかり
計量器,秤
ケージ,鳥かご
ケージ,鳥籠
ケージ,かご
ケージ,カゴ
ケーブル,ワイヤ
ケーブル,ワイヤー
ケーブル,コード
消しゴム,けしごむ
消しゴム,消しごむ
コード,ケーブル
コード,ワイヤー
コップ,カップ
コップ,マグ
コップ,マグカップ
コップ,グラス
コップ,湯呑み
コップ,盃
コップ,杯
座布団,クッション
座布団,マット
皿,プレート
シート,イス
シート,椅子
シート,いす
シート,ソファ
シート,ソファー
磁石,マグネット
自転車,サイクル
自転車,チャリ
じゅうたん,絨毯
じゅうたん,カーペット
じゅうたん,ラグ
じゅうたん,マット
収納庫,クローゼット
収納庫,クロゼット
収納庫,キャビネット
収納庫,たんす
収納庫,タンス
収納庫,箪笥
収納庫,戸棚
収納庫,カラーボックス
食器棚,食器だな
食器棚,サイドボード
スーツケース,キャリーバッグ
スコップ,ショベル
スコップ,シャベル
ステープラー,ホッチキス
ストーブ,暖炉
ストーブ,ストーヴ
ストーブ,ヒーター
ストーブ,暖房器
ソファー,ソファ
ソファー,長椅子
ソファー,シート
体温計,温度計
体温計,サーモメーター
台車,ワゴン
台車,手押し車
台車,カート
体重計,はかり
体重計,秤
体重計,計量器
ダイニングテーブル,テーブル
チェーン,鎖
チェスト,化粧台
チェスト,鏡台
机,テーブル
机,デスク
電気かみそり,シェーバー
電球,白熱灯
電子オルガン,エレクトーン
縄,ザイル
縄,ロープ
ノートパソコン,ノートPC
ノートパソコン,ノートブック
のこぎり,ノコギリ
のこぎり,鋸
ハードディスク,HDD
はさみ,ハサミ
はさみ,鋏
パソコン,PC
パソコン,パーソナルコンピュータ
パソコン,デスクトップ
パソコン,ラップトップ
バッグ,カバン
バッグ,鞄
刃物,ナイフ
刃物,カッター
刃物,包丁
針金,ワイヤー
ハンマー,金槌
ハンマー,かなづち
ハンマー,カナヅチ
ハンマー,トンカチ
眼鏡,めがね
眼鏡,メガネ
毛布,ブランケット
やかん,ケトル
湯沸かし器,ポット
湯沸かし器,電気ポット
ロープ,ザイル
ロープ,縄
ワゴン,手押し車
ワゴン,カート
ワゴン,台車
